Year,Age,Lifecycle_Stage,Risk_Aversion,Equity_Allocation,Bonds_Allocation,Cash_Allocation,cfg_id
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_A
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_A
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_A
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_A
35,65,retirement,0.85,0.35,0.6,0.05,CFG_A
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_A
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_A
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_A
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_A
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_B
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_B
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_B
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_B
4,34,young_family,0.24,0.66,0.29,0.05,CFG_B
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_B
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_B
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_B
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_B
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_B
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_B
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_B
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_B
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_B
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_B
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_B
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_B
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_B
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_B
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_B
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_B
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_B
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_B
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_B
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_B
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_B
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_B
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_B
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_B
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_B
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_B
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_B
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_B
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_B
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_B
35,65,retirement,0.85,0.35,0.6,0.05,CFG_B
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_B
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_B
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_B
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_B
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_C
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_C
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_C
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_C
4,34,young_family,0.24,0.66,0.29,0.05,CFG_C
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_C
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_C
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_C
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_C
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_C
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_C
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_C
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_C
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_C
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_C
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_C
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_C
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_C
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_C
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_C
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_C
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_C
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_C
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_C
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_C
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_C
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_C
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_C
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_C
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_C
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_C
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_C
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_C
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_C
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_C
35,65,retirement,0.85,0.35,0.6,0.05,CFG_C
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_C
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_C
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_C
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_C
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_D
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_D
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_D
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_D
4,34,young_family,0.24,0.66,0.29,0.05,CFG_D
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_D
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_D
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_D
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_D
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_D
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_D
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_D
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_D
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_D
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_D
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_D
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_D
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_D
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_D
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_D
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_D
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_D
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_D
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_D
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_D
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_D
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_D
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_D
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_D
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_D
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_D
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_D
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_D
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_D
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_D
35,65,retirement,0.85,0.35,0.6,0.05,CFG_D
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_D
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_D
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_D
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_D
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_E
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_E
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_E
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_E
4,34,young_family,0.24,0.66,0.29,0.05,CFG_E
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_E
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_E
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_E
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_E
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_E
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_E
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_E
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_E
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_E
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_E
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_E
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_E
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_E
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_E
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_E
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_E
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_E
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_E
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_E
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_E
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_E
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_E
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_E
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_E
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_E
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_E
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_E
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_E
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_E
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_E
35,65,retirement,0.85,0.35,0.6,0.05,CFG_E
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_E
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_E
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_E
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_E
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_F
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_F
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_F
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_F
4,34,young_family,0.24,0.66,0.29,0.05,CFG_F
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_F
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_F
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_F
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_F
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_F
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_F
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_F
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_F
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_F
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_F
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_F
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_F
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_F
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_F
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_F
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_F
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_F
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_F
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_F
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_F
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_F
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_F
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_F
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_F
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_F
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_F
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_F
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_F
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_F
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_F
35,65,retirement,0.85,0.35,0.6,0.05,CFG_F
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_F
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_F
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_F
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_F
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_G
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_G
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_G
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_G
4,34,young_family,0.24,0.66,0.29,0.05,CFG_G
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_G
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_G
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_G
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_G
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_G
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_G
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_G
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_G
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_G
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_G
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_G
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_G
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_G
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_G
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_G
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_G
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_G
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_G
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_G
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_G
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_G
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_G
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_G
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_G
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_G
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_G
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_G
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_G
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_G
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_G
35,65,retirement,0.85,0.35,0.6,0.05,CFG_G
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_G
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_G
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_G
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_G
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_H
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_H
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_H
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_H
4,34,young_family,0.24,0.66,0.29,0.05,CFG_H
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_H
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_H
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_H
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_H
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_H
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_H
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_H
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_H
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_H
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_H
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_H
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_H
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_H
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_H
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_H
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_H
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_H
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_H
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_H
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_H
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_H
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_H
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_H
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_H
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_H
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_H
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_H
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_H
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_H
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_H
35,65,retirement,0.85,0.35,0.6,0.05,CFG_H
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_H
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_H
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_H
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_H
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_I
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_I
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_I
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_I
4,34,young_family,0.24,0.66,0.29,0.05,CFG_I
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_I
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_I
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_I
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_I
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_I
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_I
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_I
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_I
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_I
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_I
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_I
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_I
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_I
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_I
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_I
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_I
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_I
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_I
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_I
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_I
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_I
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_I
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_I
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_I
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_I
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_I
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_I
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_I
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_I
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_I
35,65,retirement,0.85,0.35,0.6,0.05,CFG_I
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_I
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_I
38,68,retirement,0.88,0.32,0.6299999999999999,0.05,CFG_I
39,69,retirement,0.89,0.31,0.6399999999999999,0.05,CFG_I
0,30,young_family,0.2,0.7,0.25000000000000006,0.05,CFG_J
1,31,young_family,0.21000000000000002,0.69,0.26000000000000006,0.05,CFG_J
2,32,young_family,0.22,0.68,0.26999999999999996,0.05,CFG_J
3,33,young_family,0.23,0.67,0.27999999999999997,0.05,CFG_J
4,34,young_family,0.24,0.66,0.29,0.05,CFG_J
5,35,mid_career,0.25,0.65,0.3,0.05,CFG_J
6,36,mid_career,0.27,0.64,0.31,0.05,CFG_J
7,37,mid_career,0.29,0.63,0.32,0.05,CFG_J
8,38,mid_career,0.31,0.62,0.33,0.05,CFG_J
9,39,mid_career,0.32999999999999996,0.61,0.34,0.05,CFG_J
10,40,mid_career,0.35,0.6,0.35000000000000003,0.05,CFG_J
11,41,mid_career,0.37,0.59,0.36000000000000004,0.05,CFG_J
12,42,mid_career,0.39,0.58,0.37000000000000005,0.05,CFG_J
13,43,mid_career,0.41,0.57,0.38000000000000006,0.05,CFG_J
14,44,mid_career,0.43,0.56,0.38999999999999996,0.05,CFG_J
15,45,mid_career,0.45,0.55,0.39999999999999997,0.05,CFG_J
16,46,mid_career,0.47000000000000003,0.54,0.41,0.05,CFG_J
17,47,mid_career,0.49000000000000005,0.53,0.42,0.05,CFG_J
18,48,mid_career,0.51,0.52,0.43,0.05,CFG_J
19,49,mid_career,0.53,0.51,0.44,0.05,CFG_J
20,50,pre_retirement,0.55,0.5,0.45,0.05,CFG_J
21,51,pre_retirement,0.5700000000000001,0.49,0.46,0.05,CFG_J
22,52,pre_retirement,0.5900000000000001,0.48,0.47000000000000003,0.05,CFG_J
23,53,pre_retirement,0.61,0.47,0.48000000000000004,0.05,CFG_J
24,54,pre_retirement,0.63,0.46,0.49000000000000005,0.05,CFG_J
25,55,pre_retirement,0.65,0.45,0.5,0.05,CFG_J
26,56,pre_retirement,0.67,0.44,0.51,0.05,CFG_J
27,57,pre_retirement,0.6900000000000001,0.43,0.52,0.05,CFG_J
28,58,pre_retirement,0.71,0.42,0.53,0.05,CFG_J
29,59,pre_retirement,0.73,0.41,0.54,0.05,CFG_J
30,60,pre_retirement,0.75,0.4,0.5499999999999999,0.05,CFG_J
31,61,pre_retirement,0.77,0.39,0.5599999999999999,0.05,CFG_J
32,62,pre_retirement,0.79,0.38,0.57,0.05,CFG_J
33,63,pre_retirement,0.8099999999999999,0.37,0.58,0.05,CFG_J
34,64,pre_retirement,0.83,0.36,0.59,0.05,CFG_J
35,65,retirement,0.85,0.35,0.6,0.05,CFG_J
36,66,retirement,0.86,0.34,0.6099999999999999,0.05,CFG_J
37,67,retirement,0.87,0.33,0.6199999999999999,0.05,CFG_J
