Year,H_SAL,H_BONUS,HEL_SAL,Daycare,Tuition,Mortgage,Ppty,Charity,Healthcare,NetCF,Age,Lifecycle_Stage,Equity_Allocation,Bond_Allocation,Cash_Allocation,Risk_Aversion_Score
27,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,0,-6000.0,265027.0,57,pre_retirement,0.43,0.518,0.052000000000000005,0.6900000000000001
28,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,0,-6500.0,264528.0,58,pre_retirement,0.42,0.527,0.053000000000000005,0.71
29,150000.0,15000.0,140000.0,0,0.0,0.0,-34000,0,-7000.0,264029.0,59,pre_retirement,0.41,0.536,0.054000000000000006,0.73
30,150000.0,12000.0,140000.0,0,0.0,0.0,-34000,0,-7500.0,260530.0,60,pre_retirement,0.4,0.5449999999999999,0.055,0.75
31,147000.0,11760.0,137200.0,0,0.0,0.0,-34000,0,-8000.0,253991.0,61,pre_retirement,0.39,0.5539999999999999,0.056,0.77
32,144000.0,11520.0,134400.0,0,0.0,0.0,-34000,0,-8500.0,247452.0,62,pre_retirement,0.38,0.563,0.057,0.79
33,141000.0,11280.0,131600.0,0,0.0,0.0,-34000,0,-9000.0,240913.0,63,pre_retirement,0.37,0.572,0.058,0.8099999999999999
34,138000.0,11040.000000000002,128800.0,0,0.0,0.0,-34000,0,-9500.0,234374.0,64,pre_retirement,0.36,0.581,0.059000000000000004,0.83
35,135000.0,10800.000000000002,126000.0,0,0.0,0.0,-34000,0,-10000.0,227835.0,65,retirement,0.35,0.59,0.060000000000000005,0.85
36,132000.0,10560.000000000002,123200.0,0,0.0,0.0,-34000,0,-10500.0,221296.0,66,retirement,0.34,0.599,0.061,0.86
37,129000.0,10320.0,120400.0,0,0.0,0.0,-34000,0,-11000.0,214757.0,67,retirement,0.33,0.6079999999999999,0.062,0.87
38,126000.0,10080.0,117600.0,0,0.0,0.0,-34000,0,-11500.0,208218.0,68,retirement,0.32,0.617,0.063,0.88
39,123000.00000000001,9840.000000000002,114800.00000000001,0,0.0,0.0,-34000,0,-12000.0,201679.00000000003,69,retirement,0.31,0.6259999999999999,0.064,0.89
